UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
20250001,18,4,1,102812,9747.29,0.094807,23.2594,34050,40,27,85524,17288,936,10,2498,10939
20250001,19,3,1,145196,28873,0.198855,29.4279,6126,115,90,6650,138546,2015,26,39520,111511
20250001,41,3,1,28663,4509.01,0.157311,58.6941,1171,23,18,16320,12343,885,7,2656,6507
20250001,310,3,1,34686,10217.4,0.294569,25.7099,620,48,29,3913,30773,2552,14,4736,19410
20250001,344,4,1,20676,5030.38,0.243296,30.3645,734,24,16,5949,14727,673,7,4264,10044
20250001,350,2,1,19660,5099.13,0.259366,34.2053,774,27,17,3980,15680,642,7,3564,10979
20250001,356,3,1,12711,4191.02,0.329716,17.1172,338,24,11,2896,9815,776,5,2852,5424
20250001,357,3,1,56382,13683,0.242685,64.3817,3933,51,39,22239,34143,1683,12,6225,27495
20250001,358,2,1,16823,7912.06,0.470312,3.32662,586,29,9,10841,5982,1318,3,2079,2694
20250001,376,1,1,98888,10710.8,0.108312,35.6931,7468,35,27,74745,24143,752,13,5650,16826
20250001,381,1,1,42503,12537,0.294968,19.3132,882,47,36,5850,36653,1666,12,7897,25135
