UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
4,0,4,4,11810,4321.56,0.365924,4.30116,147,17,21,1930,8111,0,0,0,0
4,4,4,2,5300,1909.01,0.360191,3.5536,111,3,5,1769,1142,0,0,0,0
5,0,4,1,15289,5462.83,0.357305,30.4138,432,30,30,2646,10023,0,0,0,0
5,0,4,2,5586,1906.41,0.341284,3.41346,181,3,3,2016,1131,0,0,0,0
5,1,4,1,8159,2465.16,0.30214,24.2074,272,14,17,1199,4904,0,0,0,0
5,2,4,1,6808,2211.26,0.324803,18.6011,143,11,11,1030,3986,0,0,0,0
5,4,4,1,5466,1971.16,0.360622,5.7888,172,6,6,1898,1305,0,0,0,0
7,4,3,1,21500,4138.77,0.192501,4.85084,1062,31,23,3600,12750,0,0,0,0
20250001,0,2,2,115138,22923.2,0.199093,7.11073,1935,109,77,37743,77395,2456,19,11105,55680
20250001,0,4,3,2940,1808.89,0.615268,2.41748,138,3,2,1877,1063,382,1,0,0
20250001,4,2,1,4041,2158.14,0.53406,3.22493,246,5,3,2123,1918,412,1,0,0
20250001,5,4,1,2892,2241.97,0.775231,5.55667,175,4,6,1859,1033,282,1,0,0
20250001,8,1,1,4765,2308.78,0.484529,7,405,7,2,2916,1849,484,1,0,0
20250001,9,1,1,3934,2039.22,0.518359,3.2736,347,3,3,2229,1705,474,1,0,0
20250001,10,4,1,7120,3184.6,0.447275,15,252,7,6,5675,1445,450,1,0,0
20250001,11,4,1,4665,2175.33,0.466309,4.20282,514,5,7,3137,1528,622,1,0,0
20250001,18,4,1,102812,9747.29,0.094807,23.2594,34050,40,27,85524,17288,936,10,2498,10939
20250001,19,3,1,145196,28873,0.198855,29.4279,6126,115,90,6650,138546,2015,26,39520,111511
20250001,41,3,1,28663,4509.01,0.157311,58.6941,1171,23,18,16320,12343,885,7,2656,6507
20250001,310,3,1,34686,10217.4,0.294569,25.7099,620,48,29,3913,30773,2552,14,4736,19410
20250001,344,4,1,20676,5030.38,0.243296,30.3645,734,24,16,5949,14727,673,7,4264,10044
20250001,350,2,1,19660,5099.13,0.259366,34.2053,774,27,17,3980,15680,642,7,3564,10979
20250001,356,3,1,12711,4191.02,0.329716,17.1172,338,24,11,2896,9815,776,5,2852,5424
20250001,357,3,1,56382,13683,0.242685,64.3817,3933,51,39,22239,34143,1683,12,6225,27495
20250001,358,2,1,16823,7912.06,0.470312,3.32662,586,29,9,10841,5982,1318,3,2079,2694
20250001,376,1,1,98888,10710.8,0.108312,35.6931,7468,35,27,74745,24143,752,13,5650,16826
20250001,381,1,1,42503,12537,0.294968,19.3132,882,47,36,5850,36653,1666,12,7897,25135
99999998,0,4,3,107084,18003.7,0.168126,8.24621,1354,60,55,6249,100835,4804,14,50042,82914
99999998,0,4,5,4665,1648.57,0.353392,2.85971,222,4,6,2498,2167,302,1,0,0
99999998,0,2,6,30906,7769.97,0.251406,9.2635,817,29,30,4486,26420,823,14,4449,18276
99999998,0,4,7,29273,8780.5,0.299952,3.79547,2136,34,37,15282,13991,1375,6,2721,6832
99999998,4,4,1,24526,5698.03,0.232326,71.7008,1942,28,21,1796,22730,1834,10,3626,14350
99999998,4,2,4,13808,3231.02,0.233996,7.37865,701,13,11,2261,11547,3247,7,1284,4307
99999998,5,2,1,8106,3084.45,0.380514,2.47948,119,5,7,6986,1120,358,1,0,0
99999998,5,2,6,71608,8638.98,0.120643,35.8469,3560,31,37,8071,63537,2179,11,15835,45567
99999998,12,2,2,6875,3200.15,0.465477,2.57061,218,8,5,2783,4092,898,2,1696,1696
99999998,353,4,1,3626,2117.11,0.583869,2.50086,174,3,3,2676,950,303,1,0,0
99999998,361,4,1,8459,2454.28,0.290139,25.0799,2280,3,3,7337,1122,416,1,0,0
99999999,18,4,1,3024,1449.67,0.479388,1.8793,150,2,4,1929,1095,333,1,0,0
99999999,19,4,1,53540,9121.87,0.170375,2.89264,4824,40,26,5186,48354,1420,11,12976,42302
99999999,41,4,1,4090,2191.56,0.535834,2.19634,261,3,5,2342,1748,322,1,0,0
99999999,310,2,2,3147,1782.99,0.566567,3.57056,119,3,4,2219,928,294,1,0,0
99999999,344,2,1,3106,1926.2,0.620154,3.27649,144,3,3,2033,1073,271,1,0,0
99999999,350,2,1,3638,1763.97,0.484873,2.06399,268,5,3,2484,1154,366,1,0,0
99999999,356,4,1,2761,1734.11,0.628073,3.20408,127,3,3,1734,1027,271,1,0,0
99999999,357,2,1,2806,1721.92,0.613657,2.06497,52,3,4,1909,897,276,1,0,0
99999999,358,2,1,2861,1799.22,0.628878,2.16762,243,3,3,2009,852,271,1,0,0
99999999,376,2,1,3147,1650.96,0.524612,2.39166,218,3,3,2149,998,295,1,0,0
99999999,381,2,2,3126,1396.77,0.446823,1.83872,165,3,3,2039,1087,331,1,0,0
